|id                                        |estRows |estCost   |task     |access object                   |operator info                                                                                                                                                                |
|------------------------------------------|--------|----------|---------|--------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|Sort_19                                   |3.00    |4039050.44|root     |                                |seminar.customers.region                                                                                                                                                     |
|└─Projection_21                           |3.00    |4038764.57|root     |                                |seminar.customers.region, Column#20                                                                                                                                          |
|  └─HashAgg_22                            |3.00    |4038763.97|root     |                                |group by:Column#29, funcs:sum(Column#28)->Column#20, funcs:firstrow(Column#29)->seminar.customers.region                                                                     |
|    └─Projection_111                      |3925.72 |3919661.31|root     |                                |mul(cast(seminar.order_items.quantity, decimal(10,0) BINARY), seminar.order_items.unit_price)->Column#28, seminar.customers.region->Column#29                                |
|      └─Projection_23                     |3925.72 |3880090.84|root     |                                |seminar.customers.region, seminar.order_items.quantity, seminar.order_items.unit_price                                                                                       |
|        └─HashJoin_25                     |3925.72 |3878915.48|root     |                                |inner join, equal:[eq(seminar.orders.customer_id, seminar.customers.id)]                                                                                                     |
|          ├─IndexJoin_44(Build)           |3897.06 |2470971.08|root     |                                |inner join, inner:TableReader_41, outer key:seminar.order_items.order_id, inner key:seminar.orders.id, equal cond:eq(seminar.order_items.order_id, seminar.orders.id)        |
|          │ ├─IndexHashJoin_74(Build)     |3897.06 |480789.63 |root     |                                |inner join, inner:IndexLookUp_71, outer key:seminar.products.id, inner key:seminar.order_items.product_id, equal cond:eq(seminar.products.id, seminar.order_items.product_id)|
|          │ │ ├─TableReader_101(Build)    |162.38  |142418.18 |root     |                                |data:Selection_100                                                                                                                                                           |
|          │ │ │ └─Selection_100           |162.38  |2087101.25|cop[tikv]|                                |eq(seminar.products.category, "Electronics"), ge(seminar.products.rating, 4)                                                                                                 |
|          │ │ │   └─TableFullScan_99      |5000.00 |1588101.25|cop[tikv]|table:p                         |keep order:false                                                                                                                                                             |
|          │ │ └─IndexLookUp_71(Probe)     |3897.06 |46877.92  |root     |                                |                                                                                                                                                                             |
|          │ │   ├─IndexRangeScan_69(Build)|3897.06 |4884.00   |cop[tikv]|table:oi, index:fk_2(product_id)|range: decided by [eq(seminar.order_items.product_id, seminar.products.id)], keep order:false                                                                                |
|          │ │   └─TableRowIDScan_70(Probe)|3897.06 |6649.42   |cop[tikv]|table:oi                        |keep order:false                                                                                                                                                             |
|          │ └─TableReader_41(Probe)       |3897.06 |20.50     |root     |                                |data:TableRangeScan_40                                                                                                                                                       |
|          │   └─TableRangeScan_40         |3897.06 |244.20    |cop[tikv]|table:o                         |range: decided by [seminar.order_items.order_id], keep order:false                                                                                                           |
|          └─TableReader_109(Probe)        |20000.00|574673.47 |root     |                                |data:TableFullScan_108                                                                                                                                                       |
|            └─TableFullScan_108           |20000.00|6323302.04|cop[tikv]|table:c                         |keep order:false                                                                                                                                                             |
