|id                                        |estRows |actRows|task     |access object                   |execution info                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |operator info                                                                                                                                                                |memory   |disk   |
|------------------------------------------|--------|-------|---------|--------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|-------|
|Sort_19                                   |3.00    |3      |root     |                                |time:77.9ms, loops:2, RU:85.19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |seminar.customers.region                                                                                                                                                     |824 Bytes|0 Bytes|
|└─Projection_21                           |3.00    |3      |root     |                                |time:77.8ms, loops:3, Concurrency:OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |seminar.customers.region, Column#20                                                                                                                                          |2.02 KB  |N/A    |
|  └─HashAgg_22                            |3.00    |3      |root     |                                |time:77.8ms, loops:3, partial_worker:{wall_time:77.752079ms, concurrency:5, task_num:5, tot_wait:387.335064ms, tot_exec:785.857µs, tot_time:388.651019ms, max:77.737695ms, p95:77.737695ms}, final_worker:{wall_time:77.768483ms, concurrency:5, task_num:13, tot_wait:13.48µs, tot_exec:4.251µs, tot_time:388.736004ms, max:77.755267ms, p95:77.755267ms}                                                                                                                                                                                                                                                                                                                                                                                                                      |group by:Column#29, funcs:sum(Column#28)->Column#20, funcs:firstrow(Column#29)->seminar.customers.region                                                                     |440.8 KB |0 Bytes|
|    └─Projection_111                      |3925.72 |3919   |root     |                                |time:77.5ms, loops:6, Concurrency:5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |mul(cast(seminar.order_items.quantity, decimal(10,0) BINARY), seminar.order_items.unit_price)->Column#28, seminar.customers.region->Column#29                                |276.8 KB |N/A    |
|      └─Projection_23                     |3925.72 |3919   |root     |                                |time:77.4ms, loops:6, Concurrency:5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |seminar.customers.region, seminar.order_items.quantity, seminar.order_items.unit_price                                                                                       |143.7 KB |N/A    |
|        └─HashJoin_25                     |3925.72 |3919   |root     |                                |time:77.4ms, loops:6, build_hash_table:{total:61.3ms, fetch:60.8ms, build:491.9µs}, probe:{concurrency:5, total:386ms, max:77.3ms, probe:3.22ms, fetch and wait:382.8ms}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |inner join, equal:[eq(seminar.orders.customer_id, seminar.customers.id)]                                                                                                     |373.2 KB |0 Bytes|
|          ├─IndexJoin_44(Build)           |3897.06 |3919   |root     |                                |time:61.1ms, loops:5, inner:{total:42.6ms, concurrency:5, task:2, construct:1.12ms, fetch:40.9ms, build:544.8µs}, probe:384.7µs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |inner join, inner:TableReader_41, outer key:seminar.order_items.order_id, inner key:seminar.orders.id, equal cond:eq(seminar.order_items.order_id, seminar.orders.id)        |629.9 KB |N/A    |
|          │ ├─IndexHashJoin_74(Build)     |3897.06 |3919   |root     |                                |time:39.2ms, loops:6, inner:{total:20.6ms, concurrency:5, task:1, construct:43.1µs, fetch:19.5ms, build:16.3µs, join:985.3µs}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |inner join, inner:IndexLookUp_71, outer key:seminar.products.id, inner key:seminar.order_items.product_id, equal cond:eq(seminar.products.id, seminar.order_items.product_id)|388.3 KB |N/A    |
|          │ │ ├─TableReader_101(Build)    |162.38  |162    |root     |                                |time:18.6ms, loops:3, cop_task: {num: 2, max: 14ms, min: 4.49ms, avg: 9.24ms, p95: 14ms, max_proc_keys: 4064, p95_proc_keys: 4064, tot_proc: 17.4ms, tot_wait: 167.7µs, copr_cache_hit_ratio: 0.00, build_task_duration: 6.77µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:2, total_time:18.4ms}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |data:Selection_100                                                                                                                                                           |11.3 KB  |N/A    |
|          │ │ │ └─Selection_100           |162.38  |162    |cop[tikv]|                                |tikv_task:{proc max:14ms, min:4ms, avg: 9ms, p80:14ms, p95:14ms, iters:13, tasks:2}, scan_detail: {total_process_keys: 5000, total_process_keys_size: 381713, total_keys: 10002, get_snapshot_time: 36.1µs, rocksdb: {delete_skipped_count: 4525, key_skipped_count: 15735, block: {cache_hit_count: 8}}}, time_detail: {total_process_time: 17.4ms, total_suspend_time: 53.4µs, total_wait_time: 167.7µs, total_kv_read_wall_time: 16ms, tikv_wall_time: 17.8ms}                                                                                                                                                                                                                                                                                                               |eq(seminar.products.category, "Electronics"), ge(seminar.products.rating, 4)                                                                                                 |N/A      |N/A    |
|          │ │ │   └─TableFullScan_99      |5000.00 |5000   |cop[tikv]|table:p                         |tikv_task:{proc max:12ms, min:4ms, avg: 8ms, p80:12ms, p95:12ms, iters:13, tasks:2}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |keep order:false                                                                                                                                                             |N/A      |N/A    |
|          │ │ └─IndexLookUp_71(Probe)     |3897.06 |3919   |root     |                                |time:19.3ms, loops:5, index_task: {total_time: 5.35ms, fetch_handle: 5.34ms, build: 2.06µs, wait: 7.04µs}, table_task: {total_time: 28.4ms, num: 2, concurrency: 5}, next: {wait_index: 2.38ms, wait_table_lookup_build: 760.7µs, wait_table_lookup_resp: 15.9ms}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                                                                                                                                                             |888.6 KB |N/A    |
|          │ │   ├─IndexRangeScan_69(Build)|3897.06 |3919   |cop[tikv]|table:oi, index:fk_2(product_id)|time:5.07ms, loops:6, cop_task: {num: 2, max: 2.85ms, min: 2.14ms, avg: 2.49ms, p95: 2.85ms, max_proc_keys: 2016, p95_proc_keys: 2016, tot_proc: 4.07ms, tot_wait: 114.4µs, copr_cache_hit_ratio: 0.00, build_task_duration: 15.8µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:2, total_time:4.95ms}}, tikv_task:{proc max:3ms, min:2ms, avg: 2.5ms, p80:3ms, p95:3ms, iters:12, tasks:2}, scan_detail: {total_process_keys: 3919, total_process_keys_size: 180274, total_keys: 4082, get_snapshot_time: 29.1µs, rocksdb: {delete_skipped_count: 254, key_skipped_count: 4173, block: {cache_hit_count: 652}}}, time_detail: {total_process_time: 4.07ms, total_suspend_time: 21.8µs, total_wait_time: 114.4µs, total_kv_read_wall_time: 5ms, tikv_wall_time: 4.43ms} |range: decided by [eq(seminar.order_items.product_id, seminar.products.id)], keep order:false                                                                                |N/A      |N/A    |
|          │ │   └─TableRowIDScan_70(Probe)|3897.06 |3919   |cop[tikv]|table:oi                        |time:26.7ms, loops:6, cop_task: {num: 2, max: 15.7ms, min: 10.8ms, avg: 13.3ms, p95: 15.7ms, max_proc_keys: 2016, p95_proc_keys: 2016, tot_proc: 21.5ms, tot_wait: 1.21ms, copr_cache_hit_ratio: 0.00, build_task_duration: 231.2µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:2, total_time:26.5ms}}, tikv_task:{proc max:14ms, min:8ms, avg: 11ms, p80:14ms, p95:14ms, iters:13, tasks:2}, scan_detail: {total_process_keys: 3919, total_process_keys_size: 226059, total_keys: 3992, get_snapshot_time: 28.8µs, rocksdb: {delete_skipped_count: 10, key_skipped_count: 156, block: {cache_hit_count: 7695}}}, time_detail: {total_process_time: 21.5ms, total_suspend_time: 1.13ms, total_wait_time: 1.21ms, total_kv_read_wall_time: 22ms, tikv_wall_time: 24.6ms}|keep order:false                                                                                                                                                             |N/A      |N/A    |
|          │ └─TableReader_41(Probe)       |3897.06 |3854   |root     |                                |time:39.4ms, loops:6, cop_task: {num: 8, max: 8.25ms, min: 1.4ms, avg: 4.88ms, p95: 8.25ms, max_proc_keys: 992, p95_proc_keys: 992, tot_proc: 25.2ms, tot_wait: 1.83ms, copr_cache_hit_ratio: 0.00, build_task_duration: 829µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:8, total_time:38.9ms}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |data:TableRangeScan_40                                                                                                                                                       |N/A      |N/A    |
|          │   └─TableRangeScan_40         |3897.06 |3854   |cop[tikv]|table:o                         |tikv_task:{proc max:7ms, min:1ms, avg: 3.38ms, p80:6ms, p95:7ms, iters:31, tasks:8}, scan_detail: {total_process_keys: 3854, total_process_keys_size: 231220, total_keys: 7875, get_snapshot_time: 230.8µs, rocksdb: {delete_skipped_count: 14, key_skipped_count: 4186, block: {cache_hit_count: 7641}}}, time_detail: {total_process_time: 25.2ms, total_suspend_time: 1.2ms, total_wait_time: 1.83ms, total_kv_read_wall_time: 27ms, tikv_wall_time: 32.7ms}                                                                                                                                                                                                                                                                                                                 |range: decided by [seminar.order_items.order_id], keep order:false                                                                                                           |N/A      |N/A    |
