engine,run,txn_index,latency_ms
crdb,1,0,3.578
crdb,1,1,3.805
crdb,1,2,2.870
crdb,1,3,3.157
crdb,1,4,4.046
crdb,1,5,2.434
crdb,1,6,2.701
crdb,1,7,2.591
crdb,1,8,2.590
crdb,1,9,2.491
crdb,1,10,2.837
crdb,1,11,3.371
crdb,1,12,3.217
crdb,1,13,3.438
crdb,1,14,4.030
crdb,1,15,3.238
crdb,1,16,4.063
crdb,1,17,3.799
crdb,1,18,3.725
crdb,1,19,4.237
crdb,1,20,3.918
crdb,1,21,4.101
crdb,1,22,4.618
crdb,1,23,16.536
crdb,1,24,5.252
crdb,1,25,4.530
crdb,1,26,4.912
crdb,1,27,5.070
crdb,1,28,4.907
crdb,1,29,4.520
crdb,1,30,5.442
crdb,1,31,4.880
crdb,1,32,4.701
crdb,1,33,4.719
crdb,1,34,4.686
crdb,1,35,4.975
crdb,1,36,5.056
crdb,1,37,4.489
crdb,1,38,4.700
crdb,1,39,4.522
crdb,1,40,4.224
crdb,1,41,4.205
crdb,1,42,4.309
crdb,1,43,4.066
crdb,1,44,4.842
crdb,1,45,3.850
crdb,1,46,4.620
crdb,1,47,4.648
crdb,1,48,4.207
crdb,1,49,5.573
crdb,1,50,5.169
crdb,1,51,3.626
crdb,1,52,3.025
crdb,1,53,3.729
crdb,1,54,3.816
crdb,1,55,4.007
crdb,1,56,3.538
crdb,1,57,4.129
crdb,1,58,3.571
crdb,1,59,4.142
crdb,1,60,4.358
crdb,1,61,4.353
crdb,1,62,4.115
crdb,1,63,4.038
crdb,1,64,4.249
crdb,1,65,4.060
crdb,1,66,3.245
crdb,1,67,3.523
crdb,1,68,4.478
crdb,1,69,3.931
crdb,1,70,4.086
crdb,1,71,4.055
crdb,1,72,4.210
crdb,1,73,3.922
crdb,1,74,4.078
crdb,1,75,4.711
crdb,1,76,5.022
crdb,1,77,5.013
crdb,1,78,4.429
crdb,1,79,4.534
crdb,1,80,3.986
crdb,1,81,4.079
crdb,1,82,4.604
crdb,1,83,5.044
crdb,1,84,4.689
crdb,1,85,4.355
crdb,1,86,3.798
crdb,1,87,3.890
crdb,1,88,4.403
crdb,1,89,4.226
crdb,1,90,4.447
crdb,1,91,4.631
crdb,1,92,4.933
crdb,1,93,4.482
crdb,1,94,3.184
crdb,1,95,3.839
crdb,1,96,4.202
crdb,1,97,4.829
crdb,1,98,4.028
crdb,1,99,4.197
crdb,1,100,5.248
crdb,1,101,3.780
crdb,1,102,4.140
crdb,1,103,4.420
crdb,1,104,3.462
crdb,1,105,3.012
crdb,1,106,2.872
crdb,1,107,3.910
crdb,1,108,4.071
crdb,1,109,3.823
crdb,1,110,4.294
crdb,1,111,4.252
crdb,1,112,4.652
crdb,1,113,4.340
crdb,1,114,4.129
crdb,1,115,3.761
crdb,1,116,4.332
crdb,1,117,3.852
crdb,1,118,4.487
crdb,1,119,3.995
crdb,1,120,4.722
crdb,1,121,4.437
crdb,1,122,4.506
crdb,1,123,3.877
crdb,1,124,4.480
crdb,1,125,4.596
crdb,1,126,4.467
crdb,1,127,4.670
crdb,1,128,4.287
crdb,1,129,4.270
crdb,1,130,4.471
crdb,1,131,4.435
crdb,1,132,4.340
crdb,1,133,4.793
crdb,1,134,4.399
crdb,1,135,3.541
crdb,1,136,3.294
crdb,1,137,3.142
crdb,1,138,3.008
crdb,1,139,3.580
crdb,1,140,3.984
crdb,1,141,3.955
crdb,1,142,3.824
crdb,1,143,4.202
crdb,1,144,3.751
crdb,1,145,2.770
crdb,1,146,3.624
crdb,1,147,3.987
crdb,1,148,3.980
crdb,1,149,3.915
crdb,1,150,3.941
crdb,1,151,4.241
crdb,1,152,4.036
crdb,1,153,4.574
crdb,1,154,5.104
crdb,1,155,3.384
crdb,1,156,3.947
crdb,1,157,4.090
crdb,1,158,3.653
crdb,1,159,5.062
crdb,1,160,3.831
crdb,1,161,3.924
crdb,1,162,3.915
crdb,1,163,4.227
crdb,1,164,4.500
crdb,1,165,3.626
crdb,1,166,4.223
crdb,1,167,4.513
crdb,1,168,3.657
crdb,1,169,3.504
crdb,1,170,4.395
crdb,1,171,4.498
crdb,1,172,4.188
crdb,1,173,3.538
crdb,1,174,3.988
crdb,1,175,4.088
crdb,1,176,4.918
crdb,1,177,4.433
crdb,1,178,4.243
crdb,1,179,4.774
crdb,1,180,4.517
crdb,1,181,4.020
crdb,1,182,3.224
crdb,1,183,3.416
crdb,1,184,4.499
crdb,1,185,3.938
crdb,1,186,3.252
crdb,1,187,3.657
crdb,1,188,4.109
crdb,1,189,3.618
crdb,1,190,3.547
crdb,1,191,3.446
crdb,1,192,3.685
crdb,1,193,3.376
crdb,1,194,4.175
crdb,1,195,3.801
crdb,1,196,3.522
crdb,1,197,2.055
crdb,1,198,2.766
crdb,1,199,2.817
crdb,2,0,13.265
crdb,2,1,6.041
crdb,2,2,3.829
crdb,2,3,4.276
crdb,2,4,2.400
crdb,2,5,2.213
crdb,2,6,2.770
crdb,2,7,3.615
crdb,2,8,3.559
crdb,2,9,3.399
crdb,2,10,2.263
crdb,2,11,2.528
crdb,2,12,2.591
crdb,2,13,3.103
crdb,2,14,2.234
crdb,2,15,2.427
crdb,2,16,2.357
crdb,2,17,2.696
crdb,2,18,2.956
crdb,2,19,3.319
crdb,2,20,3.413
crdb,2,21,3.242
crdb,2,22,2.635
crdb,2,23,3.198
crdb,2,24,3.167
crdb,2,25,3.151
crdb,2,26,2.265
crdb,2,27,2.561
crdb,2,28,2.858
crdb,2,29,2.959
crdb,2,30,2.729
crdb,2,31,3.101
crdb,2,32,2.780
crdb,2,33,2.870
crdb,2,34,3.048
crdb,2,35,3.447
crdb,2,36,3.405
crdb,2,37,3.564
crdb,2,38,3.064
crdb,2,39,3.143
crdb,2,40,3.258
crdb,2,41,4.021
crdb,2,42,21.856
crdb,2,43,5.859
crdb,2,44,4.713
crdb,2,45,4.343
crdb,2,46,4.611
crdb,2,47,4.533
crdb,2,48,5.109
crdb,2,49,4.187
crdb,2,50,4.347
crdb,2,51,4.831
crdb,2,52,5.171
crdb,2,53,5.337
crdb,2,54,4.943
crdb,2,55,4.252
crdb,2,56,4.328
crdb,2,57,3.810
crdb,2,58,3.846
crdb,2,59,4.304
crdb,2,60,4.939
crdb,2,61,4.418
crdb,2,62,5.077
crdb,2,63,4.269
crdb,2,64,3.931
crdb,2,65,4.137
crdb,2,66,3.686
crdb,2,67,3.899
crdb,2,68,3.833
crdb,2,69,4.145
crdb,2,70,3.983
crdb,2,71,4.008
crdb,2,72,3.434
crdb,2,73,3.422
crdb,2,74,3.364
crdb,2,75,4.211
crdb,2,76,3.355
crdb,2,77,3.909
crdb,2,78,3.194
crdb,2,79,2.762
crdb,2,80,3.117
crdb,2,81,4.431
crdb,2,82,4.121
crdb,2,83,3.625
crdb,2,84,3.730
crdb,2,85,3.826
crdb,2,86,3.975
crdb,2,87,4.209
crdb,2,88,3.580
crdb,2,89,3.605
crdb,2,90,4.574
crdb,2,91,4.075
crdb,2,92,3.821
crdb,2,93,3.317
crdb,2,94,3.963
crdb,2,95,4.361
crdb,2,96,5.682
crdb,2,97,3.813
crdb,2,98,4.099
crdb,2,99,3.712
crdb,2,100,3.016
crdb,2,101,3.983
crdb,2,102,3.431
crdb,2,103,4.543
crdb,2,104,3.711
crdb,2,105,3.363
crdb,2,106,2.688
crdb,2,107,2.493
crdb,2,108,3.315
crdb,2,109,3.143
crdb,2,110,2.850
crdb,2,111,3.516
crdb,2,112,3.897
crdb,2,113,4.227
crdb,2,114,4.620
crdb,2,115,4.123
crdb,2,116,4.293
crdb,2,117,3.479
crdb,2,118,3.101
crdb,2,119,2.264
crdb,2,120,2.364
crdb,2,121,18.180
crdb,2,122,2.242
crdb,2,123,2.399
crdb,2,124,2.328
crdb,2,125,2.718
crdb,2,126,3.449
crdb,2,127,2.611
crdb,2,128,2.670
crdb,2,129,1.971
crdb,2,130,2.246
crdb,2,131,2.343
crdb,2,132,2.468
crdb,2,133,2.285
crdb,2,134,2.548
crdb,2,135,2.716
crdb,2,136,2.522
crdb,2,137,2.050
crdb,2,138,2.552
crdb,2,139,2.373
crdb,2,140,2.375
crdb,2,141,1.965
crdb,2,142,2.346
crdb,2,143,2.709
crdb,2,144,2.699
crdb,2,145,3.071
crdb,2,146,2.931
crdb,2,147,2.932
crdb,2,148,3.265
crdb,2,149,3.409
crdb,2,150,3.039
crdb,2,151,2.624
crdb,2,152,2.674
crdb,2,153,3.358
crdb,2,154,3.582
crdb,2,155,3.624
crdb,2,156,2.813
crdb,2,157,2.832
crdb,2,158,3.313
crdb,2,159,2.590
crdb,2,160,3.329
crdb,2,161,3.474
crdb,2,162,3.335
crdb,2,163,3.248
crdb,2,164,3.414
crdb,2,165,3.572
crdb,2,166,3.837
crdb,2,167,3.663
crdb,2,168,4.869
crdb,2,169,4.127
crdb,2,170,4.226
crdb,2,171,4.004
crdb,2,172,4.691
crdb,2,173,3.982
crdb,2,174,3.536
crdb,2,175,4.338
crdb,2,176,4.219
crdb,2,177,4.725
crdb,2,178,4.478
crdb,2,179,8.667
crdb,2,180,4.065
crdb,2,181,4.498
crdb,2,182,5.042
crdb,2,183,5.078
crdb,2,184,4.939
crdb,2,185,4.914
crdb,2,186,5.002
crdb,2,187,4.741
crdb,2,188,3.977
crdb,2,189,4.103
crdb,2,190,4.316
crdb,2,191,4.716
crdb,2,192,4.405
crdb,2,193,4.366
crdb,2,194,2.885
crdb,2,195,3.163
crdb,2,196,3.520
crdb,2,197,3.689
crdb,2,198,4.352
crdb,2,199,3.771
crdb,3,0,5.874
crdb,3,1,5.156
crdb,3,2,5.402
crdb,3,3,5.393
crdb,3,4,4.416
crdb,3,5,4.427
crdb,3,6,4.338
crdb,3,7,4.105
crdb,3,8,3.759
crdb,3,9,4.092
crdb,3,10,3.654
crdb,3,11,3.560
crdb,3,12,4.422
crdb,3,13,4.516
crdb,3,14,4.550
crdb,3,15,4.207
crdb,3,16,4.553
crdb,3,17,4.926
crdb,3,18,3.623
crdb,3,19,4.426
crdb,3,20,4.689
crdb,3,21,4.600
crdb,3,22,4.302
crdb,3,23,4.479
crdb,3,24,4.720
crdb,3,25,4.356
crdb,3,26,4.047
crdb,3,27,4.206
crdb,3,28,4.172
crdb,3,29,3.702
crdb,3,30,3.994
crdb,3,31,3.711
crdb,3,32,3.330
crdb,3,33,2.950
crdb,3,34,3.058
crdb,3,35,3.059
crdb,3,36,2.843
crdb,3,37,2.614
crdb,3,38,2.530
crdb,3,39,2.041
crdb,3,40,3.094
crdb,3,41,2.885
crdb,3,42,2.926
crdb,3,43,3.097
crdb,3,44,3.272
crdb,3,45,3.633
crdb,3,46,3.459
crdb,3,47,2.800
crdb,3,48,3.500
crdb,3,49,3.603
crdb,3,50,2.901
crdb,3,51,2.131
crdb,3,52,2.830
crdb,3,53,3.587
crdb,3,54,4.104
crdb,3,55,3.443
crdb,3,56,3.328
crdb,3,57,4.124
crdb,3,58,4.561
crdb,3,59,3.734
crdb,3,60,3.724
crdb,3,61,3.312
crdb,3,62,3.603
crdb,3,63,3.765
crdb,3,64,3.219
crdb,3,65,3.374
crdb,3,66,3.481
crdb,3,67,3.939
crdb,3,68,3.290
crdb,3,69,2.729
crdb,3,70,2.398
crdb,3,71,2.556
crdb,3,72,2.652
crdb,3,73,1.986
crdb,3,74,2.518
crdb,3,75,2.988
crdb,3,76,2.665
crdb,3,77,3.398
crdb,3,78,3.090
crdb,3,79,2.611
crdb,3,80,3.237
crdb,3,81,2.834
crdb,3,82,3.225
crdb,3,83,3.041
crdb,3,84,3.102
crdb,3,85,2.619
crdb,3,86,2.729
crdb,3,87,2.658
crdb,3,88,2.038
crdb,3,89,2.417
crdb,3,90,2.888
crdb,3,91,2.853
crdb,3,92,2.365
crdb,3,93,2.910
crdb,3,94,3.011
crdb,3,95,3.015
crdb,3,96,3.750
crdb,3,97,3.248
crdb,3,98,4.023
crdb,3,99,3.943
crdb,3,100,3.263
crdb,3,101,4.042
crdb,3,102,4.083
crdb,3,103,4.633
crdb,3,104,3.517
crdb,3,105,3.236
crdb,3,106,3.647
crdb,3,107,2.820
crdb,3,108,4.065
crdb,3,109,4.226
crdb,3,110,3.345
crdb,3,111,4.275
crdb,3,112,3.942
crdb,3,113,3.603
crdb,3,114,3.624
crdb,3,115,3.643
crdb,3,116,4.065
crdb,3,117,4.679
crdb,3,118,4.005
crdb,3,119,4.560
crdb,3,120,4.617
crdb,3,121,3.546
crdb,3,122,4.102
crdb,3,123,3.775
crdb,3,124,3.702
crdb,3,125,3.182
crdb,3,126,3.288
crdb,3,127,3.665
crdb,3,128,3.425
crdb,3,129,3.278
crdb,3,130,3.769
crdb,3,131,3.503
crdb,3,132,2.919
crdb,3,133,3.678
crdb,3,134,3.503
crdb,3,135,3.382
crdb,3,136,3.446
crdb,3,137,3.599
crdb,3,138,3.107
crdb,3,139,3.740
crdb,3,140,3.833
crdb,3,141,3.901
crdb,3,142,3.492
crdb,3,143,3.344
crdb,3,144,3.639
crdb,3,145,3.883
crdb,3,146,4.206
crdb,3,147,4.462
crdb,3,148,4.405
crdb,3,149,3.681
crdb,3,150,2.906
crdb,3,151,3.223
crdb,3,152,3.546
crdb,3,153,4.356
crdb,3,154,3.572
crdb,3,155,3.699
crdb,3,156,2.798
crdb,3,157,2.997
crdb,3,158,2.896
crdb,3,159,2.838
crdb,3,160,2.553
crdb,3,161,3.010
crdb,3,162,3.135
crdb,3,163,3.584
crdb,3,164,3.071
crdb,3,165,3.420
crdb,3,166,3.202
crdb,3,167,3.927
crdb,3,168,4.676
crdb,3,169,3.725
crdb,3,170,4.478
crdb,3,171,3.844
crdb,3,172,3.405
crdb,3,173,3.777
crdb,3,174,4.041
crdb,3,175,4.368
crdb,3,176,3.432
crdb,3,177,3.032
crdb,3,178,3.508
crdb,3,179,3.930
crdb,3,180,4.196
crdb,3,181,3.453
crdb,3,182,4.538
crdb,3,183,3.707
crdb,3,184,3.556
crdb,3,185,3.422
crdb,3,186,4.606
crdb,3,187,3.792
crdb,3,188,4.150
crdb,3,189,3.463
crdb,3,190,3.646
crdb,3,191,4.238
crdb,3,192,4.252
crdb,3,193,3.471
crdb,3,194,3.572
crdb,3,195,3.853
crdb,3,196,3.973
crdb,3,197,3.326
crdb,3,198,3.693
crdb,3,199,4.348
tidb,1,0,5.698
tidb,1,1,5.207
tidb,1,2,6.369
tidb,1,3,6.252
tidb,1,4,5.814
tidb,1,5,5.950
tidb,1,6,6.590
tidb,1,7,6.212
tidb,1,8,6.322
tidb,1,9,6.337
tidb,1,10,6.218
tidb,1,11,6.338
tidb,1,12,4.654
tidb,1,13,4.826
tidb,1,14,5.221
tidb,1,15,6.058
tidb,1,16,6.370
tidb,1,17,6.495
tidb,1,18,6.304
tidb,1,19,6.264
tidb,1,20,6.812
tidb,1,21,6.399
tidb,1,22,6.195
tidb,1,23,6.668
tidb,1,24,6.291
tidb,1,25,6.163
tidb,1,26,6.080
tidb,1,27,6.785
tidb,1,28,6.521
tidb,1,29,7.161
tidb,1,30,6.792
tidb,1,31,6.419
tidb,1,32,6.834
tidb,1,33,6.852
tidb,1,34,6.213
tidb,1,35,6.320
tidb,1,36,6.159
tidb,1,37,6.821
tidb,1,38,6.627
