id	estRows	actRows	task	access object	execution info	operator info	memory	disk
TableReader_147	8.00	8	root		time:32.5ms, loops:2, RU:68.49, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_146	3.24 KB	N/A
└─ExchangeSender_146	8.00	8	mpp[tiflash]		tiflash_task:{time:29.7ms, loops:5, threads:12}	ExchangeType: PassThrough	N/A	N/A
  └─Projection_14	8.00	8	mpp[tiflash]		tiflash_task:{time:29.7ms, loops:5, threads:12}	seminar.products.category, Column#15	N/A	N/A
    └─Projection_142	8.00	8	mpp[tiflash]		tiflash_task:{time:29.7ms, loops:5, threads:12}	Column#15, seminar.products.category	N/A	N/A
      └─HashAgg_143	8.00	8	mpp[tiflash]		tiflash_task:{time:29.7ms, loops:5, threads:12}	group by:seminar.products.category, funcs:sum(Column#28)->Column#15, funcs:firstrow(seminar.products.category)->seminar.products.category, stream_count: 12	N/A	N/A
        └─ExchangeReceiver_145	8.00	8	mpp[tiflash]		tiflash_task:{time:29.7ms, loops:5, threads:12}	stream_count: 12	N/A	N/A
          └─ExchangeSender_144	8.00	8	mpp[tiflash]		tiflash_task:{time:30.5ms, loops:1, threads:1}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: seminar.products.category, collate: utf8mb4_bin], stream_count: 12	N/A	N/A
            └─HashAgg_140	8.00	8	mpp[tiflash]		tiflash_task:{time:29.5ms, loops:1, threads:1}	group by:Column#31, funcs:sum(Column#30)->Column#28	N/A	N/A
              └─Projection_148	119521.91	120000	mpp[tiflash]		tiflash_task:{time:27.5ms, loops:2, threads:12}	mul(cast(seminar.order_items.quantity, decimal(10,0) BINARY), seminar.order_items.unit_price)->Column#30, seminar.products.category->Column#31	N/A	N/A
                └─Projection_129	119521.91	120000	mpp[tiflash]		tiflash_task:{time:26.5ms, loops:2, threads:12}	seminar.order_items.quantity, seminar.order_items.unit_price, seminar.products.category	N/A	N/A
                  └─Projection_119	119521.91	120000	mpp[tiflash]		tiflash_task:{time:26.5ms, loops:2, threads:12}	seminar.products.category, seminar.order_items.quantity, seminar.order_items.unit_price	N/A	N/A
                    └─HashJoin_118	119521.91	120000	mpp[tiflash]		tiflash_task:{time:26.5ms, loops:2, threads:12}	inner join, equal:[eq(seminar.order_items.order_id, seminar.orders.id)]	N/A	N/A
                      ├─ExchangeReceiver_44(Build)	50000.00	50000	mpp[tiflash]		tiflash_task:{time:5.46ms, loops:1, threads:12}		N/A	N/A
                      │ └─ExchangeSender_43	50000.00	50000	mpp[tiflash]		tiflash_task:{time:5.65ms, loops:1, threads:12}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                      │   └─TableFullScan_42	50000.00	50000	mpp[tiflash]	table:o	tiflash_task:{time:5.65ms, loops:1, threads:12}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:3ms, max_local_stream:3ms, dtfile:{data_scanned_rows:50000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                      └─Projection_41(Probe)	120000.00	120000	mpp[tiflash]		tiflash_task:{time:23.5ms, loops:2, threads:12}	seminar.products.category, seminar.order_items.order_id, seminar.order_items.quantity, seminar.order_items.unit_price	N/A	N/A
                        └─HashJoin_36	120000.00	120000	mpp[tiflash]		tiflash_task:{time:23.5ms, loops:2, threads:12}	inner join, equal:[eq(seminar.products.id, seminar.order_items.product_id)]	N/A	N/A
                          ├─ExchangeReceiver_39(Build)	5000.00	5000	mpp[tiflash]		tiflash_task:{time:6.46ms, loops:1, threads:12}, tiflash_wait: {pipeline_queue_wait: 1ms}		N/A	N/A
                          │ └─ExchangeSender_38	5000.00	5000	mpp[tiflash]		tiflash_task:{time:4.52ms, loops:1, threads:12}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                          │   └─TableFullScan_37	5000.00	5000	mpp[tiflash]	table:p	tiflash_task:{time:4.52ms, loops:1, threads:12}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:2ms, max_local_stream:2ms, dtfile:{data_scanned_rows:5000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                          └─TableFullScan_40(Probe)	120000.00	120000	mpp[tiflash]	table:oi	tiflash_task:{time:18.5ms, loops:2, threads:12}, tiflash_wait: {pipeline_breaker_wait: 8ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:15ms, max_local_stream:16ms, dtfile:{data_scanned_rows:120000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:5ms}}	keep order:false	N/A	N/A
