engine,elapsed_s,txn_index,success,latency_ms,error_message
crdb,0.00,1,1,14.276,
crdb,0.01,2,1,9.274,
crdb,0.02,3,1,2.869,
crdb,0.03,4,1,3.275,
crdb,0.03,5,1,3.459,
crdb,0.03,6,1,4.885,
crdb,0.04,7,1,6.536,
crdb,0.04,8,1,3.871,
crdb,0.05,9,1,4.475,
crdb,0.05,10,1,4.630,
crdb,0.06,11,1,4.670,
crdb,0.06,12,1,4.097,
crdb,0.07,13,1,4.883,
crdb,0.07,14,1,4.466,
crdb,0.08,15,1,2.659,
crdb,0.08,16,1,2.694,
crdb,0.08,17,1,3.069,
crdb,0.08,18,1,3.150,
crdb,0.09,19,1,3.104,
crdb,0.09,20,1,3.310,
crdb,0.09,21,1,3.297,
crdb,0.10,22,1,3.138,
crdb,0.10,23,1,3.114,
crdb,0.10,24,1,4.859,
crdb,0.11,25,1,3.762,
crdb,0.11,26,1,4.315,
crdb,0.12,27,1,4.658,
crdb,0.12,28,1,4.824,
crdb,0.13,29,1,5.732,
crdb,0.13,30,1,4.361,
crdb,0.14,31,1,4.483,
crdb,0.14,32,1,4.740,
crdb,0.15,33,1,5.766,
crdb,0.15,34,1,4.782,
crdb,0.16,35,1,4.045,
crdb,0.16,36,1,4.666,
crdb,0.17,37,1,4.077,
crdb,0.17,38,1,3.716,
crdb,0.17,39,1,3.456,
crdb,0.18,40,1,3.576,
crdb,0.18,41,1,3.483,
crdb,0.18,42,1,4.628,
crdb,0.19,43,1,4.650,
crdb,0.19,44,1,4.887,
crdb,0.20,45,1,4.675,
crdb,0.20,46,1,3.773,
crdb,0.21,47,1,4.579,
crdb,0.21,48,1,4.363,
crdb,0.22,49,1,5.207,
crdb,0.22,50,1,5.782,
crdb,0.23,51,1,4.649,
crdb,0.23,52,1,4.810,
crdb,0.24,53,1,5.116,
crdb,0.24,54,1,5.725,
crdb,0.25,55,1,5.485,
crdb,0.25,56,1,5.880,
crdb,0.26,57,1,5.860,
crdb,0.27,58,1,6.221,
crdb,0.27,59,1,5.627,
crdb,0.28,60,1,5.771,
crdb,0.28,61,1,5.304,
crdb,0.29,62,1,5.141,
crdb,0.29,63,1,5.815,
crdb,0.30,64,1,4.401,
crdb,0.30,65,1,4.262,
crdb,0.31,66,1,4.757,
crdb,0.31,67,1,4.429,
crdb,0.32,68,1,4.640,
crdb,0.32,69,1,5.058,
crdb,0.33,70,1,4.990,
crdb,0.33,71,1,4.961,
crdb,0.34,72,1,5.181,
crdb,0.34,73,1,5.315,
crdb,0.35,74,1,5.220,
crdb,0.35,75,1,5.319,
crdb,0.36,76,1,5.946,
crdb,0.36,77,1,6.079,
crdb,0.37,78,1,4.654,
crdb,0.38,79,1,4.827,
crdb,0.38,80,1,4.954,
