engine,elapsed_s,txn_index,success,latency_ms,error_message
spanner,0.00,1,1,49.731,
spanner,0.05,2,1,9.776,
spanner,0.06,3,1,7.778,
spanner,0.07,4,1,7.635,
spanner,0.08,5,1,7.947,
spanner,0.08,6,1,7.883,
spanner,0.09,7,1,7.931,
spanner,0.10,8,1,7.733,
spanner,0.11,9,1,8.085,
spanner,0.11,10,1,7.619,
spanner,0.12,11,1,9.162,
spanner,0.13,12,1,10.663,
spanner,0.14,13,1,13.151,
spanner,0.16,14,1,11.039,
spanner,0.17,15,1,13.550,
spanner,0.18,16,1,11.222,
spanner,0.19,17,1,8.703,
spanner,0.20,18,1,8.138,
spanner,0.21,19,1,8.230,
spanner,0.22,20,1,7.910,
spanner,0.22,21,1,8.330,
spanner,0.23,22,1,9.358,
spanner,0.24,23,1,8.793,
spanner,0.25,24,1,7.562,
spanner,0.26,25,1,8.738,
spanner,0.27,26,1,8.936,
spanner,0.28,27,1,9.104,
spanner,0.29,28,1,11.091,
spanner,0.30,29,1,11.064,
spanner,0.31,30,1,9.624,
spanner,0.32,31,1,8.033,
spanner,0.33,32,1,8.928,
spanner,0.33,33,1,9.919,
spanner,0.34,34,1,9.293,
spanner,0.35,35,1,8.812,
spanner,0.36,36,1,10.594,
spanner,0.37,37,1,10.556,
spanner,0.38,38,1,10.839,
spanner,0.39,39,1,11.671,
spanner,0.41,40,1,10.800,
spanner,0.42,41,1,9.056,
spanner,0.43,42,1,11.498,
spanner,0.44,43,1,13.616,
spanner,0.45,44,1,11.650,
spanner,0.46,45,1,10.201,
spanner,0.47,46,1,8.626,
spanner,0.48,47,1,8.511,
spanner,0.49,48,1,10.114,
spanner,0.50,49,1,8.602,
spanner,0.51,50,1,8.751,
spanner,0.52,51,1,9.433,
spanner,0.53,52,1,9.186,
spanner,0.54,53,1,10.967,
spanner,0.55,54,1,10.405,
spanner,0.56,55,1,10.286,
spanner,0.57,56,1,9.663,
spanner,0.58,57,1,10.876,
spanner,0.59,58,1,13.320,
spanner,0.60,59,1,8.591,
spanner,0.61,60,1,8.283,
spanner,0.62,61,1,8.951,
spanner,0.63,62,1,10.347,
spanner,0.64,63,1,9.134,
spanner,0.65,64,1,8.654,
spanner,0.66,65,1,8.709,
spanner,0.67,66,1,8.410,
spanner,0.67,67,1,10.971,
spanner,0.69,68,1,11.105,
spanner,0.70,69,1,11.262,
spanner,0.71,70,1,10.732,
spanner,0.72,71,1,8.949,
spanner,0.73,72,1,12.283,
spanner,0.74,73,1,12.411,
spanner,0.75,74,1,10.859,
spanner,0.76,75,1,9.309,
spanner,0.77,76,1,8.451,
spanner,0.78,77,1,8.611,
spanner,0.79,78,1,12.266,
spanner,0.80,79,1,8.502,
spanner,0.81,80,1,8.519,
spanner,0.82,81,1,9.289,
spanner,0.83,82,1,9.702,
spanner,0.84,83,1,8.045,
spanner,0.85,84,1,9.461,
spanner,0.86,85,1,10.144,
spanner,0.87,86,1,11.306,
spanner,0.88,87,1,11.581,
spanner,0.89,88,1,12.603,
spanner,0.90,89,1,14.169,
spanner,0.92,90,1,12.256,
spanner,0.93,91,1,12.471,
spanner,0.94,92,1,13.180,
spanner,0.95,93,1,10.620,
spanner,0.96,94,1,9.130,
spanner,0.97,95,1,9.034,
spanner,0.98,96,1,8.939,
spanner,0.99,97,1,12.438,
spanner,1.00,98,1,10.290,
spanner,1.01,99,1,9.264,
spanner,1.02,100,1,10.324,
spanner,1.03,101,1,12.975,
spanner,1.05,102,1,12.188,
spanner,1.06,103,1,13.409,
spanner,1.07,104,1,15.153,
spanner,1.09,105,1,14.059,
spanner,1.10,106,1,13.745,
spanner,1.12,107,1,11.828,
spanner,1.13,108,1,7.473,
spanner,1.14,109,1,8.106,
spanner,1.14,110,1,8.591,
spanner,1.15,111,1,8.934,
spanner,1.16,112,1,8.107,
spanner,1.17,113,1,10.580,
spanner,1.18,114,1,8.156,
spanner,1.19,115,1,7.116,
spanner,1.19,116,1,7.394,
spanner,1.20,117,1,8.276,
spanner,1.21,118,1,6.761,
spanner,1.22,119,1,6.112,
spanner,1.22,120,1,6.006,
spanner,1.23,121,1,7.365,
spanner,1.24,122,1,9.091,
spanner,1.25,123,1,8.828,
spanner,1.25,124,1,7.780,
spanner,1.26,125,1,7.083,
spanner,1.27,126,1,8.830,
spanner,1.28,127,1,8.365,
spanner,1.29,128,1,7.232,
spanner,1.29,129,1,8.655,
spanner,1.30,130,1,6.785,
spanner,1.31,131,1,6.909,
spanner,1.32,132,1,7.216,
spanner,1.32,133,1,6.518,
spanner,1.33,134,1,6.032,
spanner,1.34,135,1,5.996,
spanner,1.34,136,1,6.860,
spanner,1.35,137,1,5.787,
spanner,1.36,138,1,6.145,
spanner,1.36,139,1,6.129,
spanner,1.37,140,1,6.811,
spanner,1.37,141,1,7.215,
spanner,1.38,142,1,8.616,
spanner,1.39,143,1,7.072,
spanner,1.40,144,1,7.451,
spanner,1.41,145,1,8.473,
spanner,1.41,146,1,7.838,
spanner,1.42,147,1,6.735,
spanner,1.43,148,1,6.618,
spanner,1.43,149,1,6.114,
spanner,1.44,150,1,6.992,
spanner,1.45,151,1,7.571,
spanner,1.46,152,1,6.384,
spanner,1.46,153,1,6.722,
spanner,1.47,154,1,10.640,
spanner,1.48,155,1,6.841,
spanner,1.49,156,1,6.668,
spanner,1.49,157,1,7.040,
spanner,1.50,158,1,6.242,
spanner,1.51,159,1,6.297,
spanner,1.51,160,1,6.715,
spanner,1.52,161,1,6.434,
spanner,1.53,162,1,7.618,
spanner,1.53,163,1,7.202,
spanner,1.54,164,1,8.842,
spanner,1.55,165,1,8.895,
spanner,1.56,166,1,11.360,
spanner,1.57,167,1,11.134,
spanner,1.58,168,1,9.183,
spanner,1.59,169,1,6.950,
spanner,1.60,170,1,7.961,
spanner,1.61,171,1,6.478,
spanner,1.61,172,1,6.648,
spanner,1.62,173,1,6.132,
spanner,1.62,174,1,5.990,
spanner,1.63,175,1,7.125,
spanner,1.64,176,1,6.817,
spanner,1.64,177,1,7.266,
spanner,1.65,178,1,7.630,
spanner,1.66,179,1,9.845,
spanner,1.67,180,1,9.611,
spanner,1.68,181,1,7.972,
spanner,1.69,182,1,7.574,
spanner,1.69,183,1,6.547,
spanner,1.70,184,1,12.241,
spanner,1.71,185,1,8.033,
spanner,1.72,186,1,7.719,
spanner,1.73,187,1,7.297,
spanner,1.74,188,1,7.929,
spanner,1.74,189,1,7.495,
spanner,1.75,190,1,7.077,
spanner,1.76,191,1,7.179,
spanner,1.77,192,1,6.700,
spanner,1.77,193,1,6.082,
spanner,1.78,194,1,6.034,
spanner,1.79,195,1,6.798,
spanner,1.79,196,1,8.215,
spanner,1.80,197,1,7.637,
spanner,1.81,198,1,6.804,
spanner,1.81,199,1,6.971,
spanner,1.82,200,1,6.393,
spanner,1.83,201,1,6.390,
spanner,1.83,202,1,6.951,
spanner,1.84,203,1,7.886,
spanner,1.85,204,1,6.616,
spanner,1.86,205,1,7.317,
spanner,1.86,206,1,7.508,
spanner,1.87,207,1,7.024,
spanner,1.88,208,1,7.132,
spanner,1.89,209,1,6.865,
spanner,1.89,210,1,8.013,
spanner,1.90,211,1,7.025,
spanner,1.91,212,1,7.137,
spanner,1.91,213,1,7.124,
spanner,1.92,214,1,7.567,
spanner,1.93,215,1,8.332,
spanner,1.94,216,1,9.437,
spanner,1.95,217,1,10.800,
spanner,1.96,218,1,9.461,
spanner,1.97,219,1,7.459,
spanner,1.97,220,1,6.606,
spanner,1.98,221,1,8.293,
spanner,1.99,222,1,11.483,
spanner,2.00,223,1,10.201,
spanner,2.01,224,1,9.060,
spanner,2.02,225,1,9.523,
spanner,2.03,226,1,7.759,
spanner,2.04,227,1,7.817,
spanner,2.05,228,1,7.913,
spanner,2.05,229,1,7.413,
spanner,2.06,230,1,6.829,
spanner,2.07,231,1,7.033,
spanner,2.08,232,1,8.345,
spanner,2.08,233,1,10.504,
spanner,2.09,234,1,11.166,
spanner,2.11,235,1,11.705,
spanner,2.12,236,1,11.801,
spanner,2.13,237,1,13.237,
spanner,2.14,238,1,10.586,
spanner,2.15,239,1,11.497,
spanner,2.16,240,1,12.738,
spanner,2.18,241,1,10.223,
spanner,2.19,242,1,9.703,
spanner,2.20,243,1,8.755,
spanner,2.21,244,1,8.268,
spanner,2.21,245,1,7.141,
spanner,2.22,246,1,7.859,
spanner,2.23,247,1,9.367,
spanner,2.24,248,1,8.507,
spanner,2.25,249,1,7.931,
spanner,2.26,250,1,7.862,
spanner,2.26,251,1,8.689,
spanner,2.27,252,1,8.398,
spanner,2.28,253,1,9.944,
spanner,2.29,254,1,9.843,
spanner,2.30,255,1,9.319,
spanner,2.31,256,1,11.763,
spanner,2.32,257,1,12.100,
spanner,2.33,258,1,12.510,
spanner,2.35,259,1,11.925,
spanner,2.36,260,1,12.156,
spanner,2.37,261,1,11.680,
spanner,2.38,262,1,11.933,
spanner,2.39,263,1,13.439,
spanner,2.41,264,1,12.074,
spanner,2.42,265,1,13.137,
spanner,2.43,266,1,12.719,
spanner,2.45,267,1,10.078,
spanner,2.46,268,1,12.367,
spanner,2.47,269,1,13.083,
spanner,2.48,270,1,11.918,
spanner,2.49,271,1,11.711,
spanner,2.50,272,1,10.730,
spanner,2.52,273,1,9.850,
spanner,2.53,274,1,13.050,
spanner,2.54,275,1,13.993,
spanner,2.55,276,1,13.163,
spanner,2.57,277,1,13.600,
spanner,2.58,278,1,13.069,
spanner,2.59,279,1,14.719,
spanner,2.61,280,1,12.974,
spanner,2.62,281,1,13.285,
spanner,2.63,282,1,12.019,
spanner,2.65,283,1,9.690,
spanner,2.66,284,1,8.833,
spanner,2.66,285,1,8.795,
spanner,2.67,286,1,10.241,
spanner,2.68,287,1,14.846,
spanner,2.70,288,1,17.733,
spanner,2.72,289,1,8.714,
spanner,2.73,290,1,8.651,
spanner,2.73,291,1,9.612,
spanner,2.74,292,1,16.023,
spanner,2.76,293,1,16.608,
spanner,2.78,294,1,8.565,
spanner,2.78,295,1,7.882,
spanner,2.79,296,1,8.153,
spanner,2.80,297,1,9.114,
spanner,2.81,298,1,8.799,
spanner,2.82,299,1,8.106,
spanner,2.83,300,1,8.149,
spanner,2.84,301,1,8.216,
spanner,2.84,302,1,11.882,
spanner,2.86,303,1,13.896,
spanner,2.87,304,1,9.378,
spanner,2.88,305,1,9.364,
spanner,2.89,306,1,8.598,
spanner,2.90,307,1,8.961,
spanner,2.91,308,1,9.370,
spanner,2.92,309,1,9.082,
spanner,2.92,310,1,9.199,
spanner,2.93,311,1,9.142,
