engine,elapsed_s,txn_index,success,latency_ms,error_message
tidb,0.00,1,1,9.908,
tidb,0.01,2,1,4.384,
tidb,0.01,3,1,7.717,
tidb,0.02,4,1,5.320,
tidb,0.03,5,1,5.672,
tidb,0.03,6,1,8.182,
tidb,0.04,7,1,5.587,
tidb,0.05,8,1,7.386,
tidb,0.05,9,1,5.709,
tidb,0.06,10,1,5.431,
tidb,0.07,11,1,5.632,
tidb,0.07,12,1,6.967,
tidb,0.08,13,1,6.620,
tidb,0.09,14,1,8.216,
tidb,0.09,15,1,6.668,
tidb,0.10,16,1,6.322,
tidb,0.11,17,1,6.355,
tidb,0.11,18,1,7.321,
tidb,0.12,19,1,6.735,
tidb,0.13,20,1,6.935,
tidb,0.13,21,1,7.278,
tidb,0.14,22,1,7.596,
tidb,0.15,23,1,5.084,
tidb,0.15,24,1,4.871,
tidb,0.16,25,1,4.318,
tidb,0.16,26,1,5.079,
tidb,0.17,27,1,5.421,
tidb,0.17,28,1,5.195,
tidb,0.18,29,1,5.782,
tidb,0.18,30,1,5.420,
tidb,0.19,31,1,4.440,
tidb,0.19,32,1,4.241,
tidb,0.20,33,1,4.721,
tidb,0.20,34,1,4.985,
tidb,0.21,35,1,5.025,
tidb,0.21,36,1,5.609,
tidb,0.22,37,1,5.810,
tidb,0.23,38,1,6.428,
tidb,0.23,39,1,6.092,
tidb,0.24,40,1,5.917,
tidb,0.24,41,1,5.925,
tidb,0.25,42,1,6.368,
tidb,0.26,43,1,6.795,
tidb,0.26,44,1,6.834,
tidb,0.27,45,1,6.575,
tidb,0.28,46,1,4.601,
tidb,0.28,47,1,4.249,
tidb,0.29,48,1,3.855,
tidb,0.29,49,1,3.825,
tidb,0.29,50,1,4.096,
tidb,0.30,51,1,4.048,
tidb,0.30,52,1,4.055,
tidb,0.31,53,1,4.578,
tidb,0.31,54,1,5.000,
tidb,0.32,55,1,5.349,
tidb,0.32,56,1,5.256,
tidb,0.33,57,1,5.710,
tidb,0.33,58,1,6.195,
tidb,0.34,59,1,5.942,
tidb,0.34,60,1,6.143,
tidb,0.35,61,1,6.624,
tidb,0.36,62,1,6.756,
tidb,0.36,63,1,6.365,
tidb,0.37,64,1,6.312,
tidb,0.38,65,1,6.865,
tidb,0.38,66,1,7.442,
tidb,0.39,67,1,6.767,
tidb,0.40,68,1,6.870,
tidb,0.40,69,1,6.677,
tidb,0.41,70,1,4.329,
tidb,0.42,71,1,4.075,
tidb,0.42,72,1,3.966,
tidb,0.42,73,1,3.948,
tidb,0.43,74,1,4.020,
tidb,0.43,75,1,3.853,
tidb,0.44,76,1,3.960,
tidb,0.44,77,1,4.289,
tidb,0.44,78,1,4.150,
tidb,0.45,79,1,3.988,
tidb,0.45,80,1,4.340,
tidb,0.46,81,1,4.257,
tidb,0.46,82,1,4.290,
tidb,0.47,83,1,4.972,
tidb,0.47,84,1,5.214,
tidb,0.48,85,1,4.555,
tidb,0.48,86,1,4.937,
tidb,0.48,87,1,4.317,
tidb,0.49,88,1,4.097,
tidb,0.49,89,1,3.986,
tidb,0.50,90,1,4.274,
tidb,0.50,91,1,3.976,
tidb,0.51,92,1,4.370,
tidb,0.51,93,1,4.600,
tidb,0.51,94,1,5.004,
tidb,0.52,95,1,6.295,
tidb,0.53,96,1,5.573,
tidb,0.53,97,1,5.674,
tidb,0.54,98,1,5.677,
tidb,0.54,99,1,6.271,
tidb,0.55,100,1,5.748,
tidb,0.56,101,1,6.396,
tidb,0.56,102,1,8.253,
tidb,0.57,103,1,6.511,
tidb,0.58,104,1,4.934,
tidb,0.58,105,1,5.169,
tidb,0.59,106,1,5.860,
tidb,0.59,107,1,6.049,
tidb,0.60,108,1,5.618,
tidb,0.60,109,1,6.286,
tidb,0.61,110,1,7.002,
tidb,0.62,111,1,7.120,
tidb,0.63,112,1,5.998,
tidb,0.63,113,1,5.522,
tidb,0.64,114,1,6.305,
tidb,0.64,115,1,6.874,
tidb,0.65,116,1,6.383,
tidb,0.66,117,1,6.186,
tidb,0.66,118,1,6.871,
tidb,0.67,119,1,7.972,
tidb,0.68,120,1,5.035,
tidb,0.68,121,1,6.579,
tidb,0.69,122,1,3.652,
tidb,0.69,123,1,4.989,
tidb,0.70,124,1,4.568,
tidb,0.70,125,1,4.152,
tidb,0.71,126,1,4.517,
tidb,0.71,127,1,5.276,
tidb,0.72,128,1,6.651,
tidb,0.72,129,1,6.906,
tidb,0.73,130,1,5.860,
tidb,0.74,131,1,6.475,
tidb,0.74,132,1,5.841,
tidb,0.75,133,1,6.722,
tidb,0.76,134,1,7.242,
tidb,0.76,135,1,7.022,
tidb,0.77,136,1,7.304,
tidb,0.78,137,1,5.971,
tidb,0.78,138,1,6.484,
tidb,0.79,139,1,5.661,
tidb,0.80,140,1,4.144,
tidb,0.80,141,1,4.142,
tidb,0.80,142,1,4.002,
tidb,0.81,143,1,4.073,
tidb,0.81,144,1,4.762,
tidb,0.82,145,1,4.059,
tidb,0.82,146,1,3.853,
tidb,0.82,147,1,4.194,
tidb,0.83,148,1,4.353,
tidb,0.83,149,1,5.256,
tidb,0.84,150,1,5.738,
tidb,0.84,151,1,5.362,
tidb,0.85,152,1,5.053,
tidb,0.85,153,1,4.993,
tidb,0.86,154,1,4.889,
tidb,0.86,155,1,5.350,
tidb,0.87,156,1,6.127,
tidb,0.88,157,1,5.478,
tidb,0.88,158,1,5.465,
tidb,0.89,159,1,5.735,
tidb,0.89,160,1,6.015,
tidb,0.90,161,1,6.433,
tidb,0.91,162,1,6.260,
tidb,0.91,163,1,4.987,
tidb,0.92,164,1,4.714,
tidb,0.92,165,1,4.094,
tidb,0.93,166,1,4.448,
tidb,0.93,167,1,7.944,
tidb,0.94,168,1,7.412,
tidb,0.95,169,1,6.713,
tidb,0.95,170,1,4.540,
tidb,0.96,171,1,5.040,
tidb,0.96,172,1,5.346,
tidb,0.97,173,1,6.651,
tidb,0.97,174,1,6.699,
tidb,0.98,175,1,6.476,
tidb,0.99,176,1,6.805,
tidb,0.99,177,1,6.443,
tidb,1.00,178,1,6.364,
tidb,1.01,179,1,6.606,
tidb,1.01,180,1,6.652,
tidb,1.02,181,1,7.439,
tidb,1.03,182,1,6.048,
tidb,1.03,183,1,4.953,
tidb,1.04,184,1,5.026,
tidb,1.04,185,1,4.185,
tidb,1.05,186,1,4.315,
tidb,1.05,187,1,5.197,
tidb,1.06,188,1,8.218,
tidb,1.07,189,1,4.953,
tidb,1.07,190,1,4.298,
tidb,1.08,191,1,4.172,
tidb,1.08,192,1,4.185,
tidb,1.08,193,1,4.803,
tidb,1.09,194,1,5.000,
tidb,1.09,195,1,4.867,
tidb,1.10,196,1,5.625,
tidb,1.10,197,1,5.512,
tidb,1.11,198,1,4.672,
tidb,1.11,199,1,5.236,
tidb,1.12,200,1,5.137,
tidb,1.12,201,1,4.914,
tidb,1.13,202,1,6.644,
tidb,1.14,203,1,5.930,
tidb,1.14,204,1,5.875,
tidb,1.15,205,1,4.966,
tidb,1.15,206,1,4.542,
tidb,1.16,207,1,5.335,
tidb,1.16,208,1,4.705,
tidb,1.17,209,1,4.773,
tidb,1.17,210,1,4.497,
tidb,1.18,211,1,5.096,
tidb,1.18,212,1,4.574,
tidb,1.19,213,1,4.263,
tidb,1.19,214,1,4.090,
tidb,1.20,215,1,3.862,
tidb,1.20,216,1,3.987,
tidb,1.20,217,1,3.837,
tidb,1.21,218,1,3.600,
tidb,1.21,219,1,4.133,
tidb,1.22,220,1,4.388,
tidb,1.22,221,1,5.238,
tidb,1.22,222,1,4.956,
tidb,1.23,223,1,5.036,
tidb,1.24,224,1,4.271,
tidb,1.24,225,1,4.937,
tidb,1.24,226,1,4.927,
tidb,1.25,227,1,5.103,
tidb,1.25,228,1,5.957,
tidb,1.26,229,1,6.236,
tidb,1.27,230,1,15.450,
tidb,1.28,231,1,7.778,
tidb,1.29,232,1,4.910,
tidb,1.29,233,1,4.396,
tidb,1.30,234,1,4.053,
tidb,1.30,235,1,4.289,
tidb,1.31,236,1,5.174,
tidb,1.31,237,1,6.231,
tidb,1.32,238,1,6.362,
tidb,1.33,239,1,6.058,
tidb,1.33,240,1,6.258,
tidb,1.34,241,1,5.801,
tidb,1.34,242,1,6.000,
tidb,1.35,243,1,6.096,
tidb,1.36,244,1,5.712,
tidb,1.36,245,1,6.006,
tidb,1.37,246,1,5.915,
tidb,1.37,247,1,6.253,
tidb,1.38,248,1,6.549,
tidb,1.39,249,1,6.458,
tidb,1.39,250,1,6.285,
tidb,1.40,251,1,6.841,
tidb,1.41,252,1,6.613,
tidb,1.41,253,1,6.389,
tidb,1.42,254,1,6.511,
tidb,1.43,255,1,7.017,
tidb,1.43,256,1,7.762,
tidb,1.44,257,1,7.738,
tidb,1.45,258,1,6.871,
tidb,1.46,259,1,6.395,
tidb,1.46,260,1,6.300,
tidb,1.47,261,1,6.022,
tidb,1.47,262,1,6.434,
tidb,1.48,263,1,6.794,
tidb,1.49,264,1,6.220,
tidb,1.49,265,1,5.893,
tidb,1.50,266,1,5.335,
tidb,1.51,267,1,5.682,
tidb,1.51,268,1,5.099,
tidb,1.52,269,1,6.316,
tidb,1.52,270,1,6.171,
tidb,1.53,271,1,5.847,
tidb,1.53,272,1,5.611,
tidb,1.54,273,1,5.737,
tidb,1.55,274,1,5.635,
tidb,1.55,275,1,5.490,
tidb,1.56,276,1,5.597,
tidb,1.56,277,1,5.595,
tidb,1.57,278,1,5.476,
tidb,1.57,279,1,4.761,
tidb,1.58,280,1,5.415,
tidb,1.58,281,1,5.614,
tidb,1.59,282,1,5.773,
tidb,1.60,283,1,4.576,
tidb,1.60,284,1,6.761,
tidb,1.61,285,1,5.299,
tidb,1.61,286,1,4.257,
tidb,1.62,287,1,4.229,
tidb,1.62,288,1,4.275,
tidb,1.63,289,1,4.510,
tidb,1.63,290,1,4.403,
tidb,1.63,291,1,5.041,
tidb,1.64,292,1,5.399,
tidb,1.65,293,1,5.568,
tidb,1.65,294,1,4.601,
tidb,1.66,295,1,4.893,
tidb,1.66,296,1,5.585,
tidb,1.67,297,1,6.441,
tidb,1.67,298,1,6.913,
tidb,1.68,299,1,6.802,
tidb,1.69,300,1,6.326,
tidb,1.69,301,1,4.804,
tidb,1.70,302,1,5.422,
tidb,1.70,303,1,5.719,
tidb,1.71,304,1,4.649,
tidb,1.71,305,1,3.957,
tidb,1.72,306,1,4.113,
tidb,1.72,307,1,4.192,
tidb,1.73,308,1,4.914,
tidb,1.73,309,1,4.805,
tidb,1.74,310,1,4.633,
tidb,1.74,311,1,5.548,
tidb,1.75,312,1,6.183,
tidb,1.75,313,1,5.106,
tidb,1.76,314,1,5.825,
tidb,1.76,315,1,5.787,
tidb,1.77,316,1,5.989,
tidb,1.77,317,1,6.534,
tidb,1.78,318,1,7.233,
tidb,1.79,319,1,7.202,
tidb,1.80,320,1,7.570,
tidb,1.80,321,1,8.059,
tidb,1.81,322,1,7.827,
tidb,1.82,323,1,4.925,
tidb,1.82,324,1,5.382,
tidb,1.83,325,1,4.675,
tidb,1.83,326,1,4.754,
tidb,1.84,327,1,5.367,
tidb,1.84,328,1,6.016,
tidb,1.85,329,1,6.096,
tidb,1.86,330,1,6.509,
tidb,1.86,331,1,6.746,
tidb,1.87,332,1,7.068,
tidb,1.88,333,1,6.534,
tidb,1.88,334,1,5.726,
tidb,1.89,335,1,6.702,
tidb,1.90,336,1,6.492,
tidb,1.90,337,1,6.653,
tidb,1.91,338,1,6.843,
tidb,1.92,339,1,5.962,
tidb,1.92,340,1,5.968,
tidb,1.93,341,1,6.739,
tidb,1.94,342,1,6.106,
tidb,1.94,343,1,5.840,
tidb,1.95,344,1,5.765,
tidb,1.95,345,1,5.864,
tidb,1.96,346,1,6.860,
tidb,1.97,347,1,7.657,
tidb,1.97,348,1,7.517,
tidb,1.98,349,1,7.077,
tidb,1.99,350,1,7.372,
tidb,2.00,351,1,6.816,
tidb,2.00,352,1,7.197,
tidb,2.01,353,1,8.050,
tidb,2.02,354,1,5.711,
tidb,2.02,355,1,6.146,
tidb,2.03,356,1,6.917,
tidb,2.04,357,1,6.691,
tidb,2.04,358,1,7.491,
tidb,2.05,359,1,6.991,
tidb,2.06,360,1,6.982,
tidb,2.07,361,1,6.901,
tidb,2.07,362,1,6.022,
tidb,2.08,363,1,5.514,
tidb,2.08,364,1,4.182,
tidb,2.09,365,1,4.898,
tidb,2.09,366,1,5.406,
tidb,2.10,367,1,5.003,
tidb,2.10,368,1,5.270,
tidb,2.11,369,1,5.384,
tidb,2.11,370,1,5.123,
tidb,2.12,371,1,6.841,
tidb,2.13,372,1,5.954,
tidb,2.13,373,1,5.178,
tidb,2.14,374,1,5.572,
tidb,2.14,375,1,6.548,
tidb,2.15,376,1,5.941,
tidb,2.16,377,1,6.609,
tidb,2.16,378,1,6.574,
tidb,2.17,379,1,6.956,
tidb,2.18,380,1,6.983,
tidb,2.18,381,1,7.825,
tidb,2.19,382,1,7.594,
tidb,2.20,383,1,6.162,
tidb,2.20,384,1,5.106,
tidb,2.21,385,1,5.381,
tidb,2.22,386,1,6.030,
tidb,2.22,387,1,6.658,
tidb,2.23,388,1,7.104,
tidb,2.24,389,1,6.965,
tidb,2.24,390,1,7.396,
tidb,2.25,391,1,7.206,
tidb,2.26,392,1,7.433,
tidb,2.26,393,1,7.158,
tidb,2.27,394,1,6.422,
tidb,2.28,395,1,6.984,
tidb,2.29,396,1,7.046,
tidb,2.29,397,1,6.627,
tidb,2.30,398,1,4.380,
tidb,2.30,399,1,3.972,
tidb,2.31,400,1,3.847,
tidb,2.31,401,1,4.028,
tidb,2.32,402,1,3.894,
tidb,2.32,403,1,4.138,
tidb,2.32,404,1,4.151,
tidb,2.33,405,1,4.750,
tidb,2.33,406,1,4.108,
tidb,2.34,407,1,4.533,
tidb,2.34,408,1,4.267,
tidb,2.35,409,1,5.576,
tidb,2.35,410,1,5.121,
tidb,2.36,411,1,4.947,
tidb,2.36,412,1,5.099,
tidb,2.37,413,1,5.221,
tidb,2.37,414,1,6.032,
tidb,2.38,415,1,6.093,
tidb,2.38,416,1,5.552,
tidb,2.39,417,1,5.637,
tidb,2.39,418,1,3.780,
tidb,2.40,419,1,4.392,
tidb,2.40,420,1,4.285,
tidb,2.41,421,1,3.981,
tidb,2.41,422,1,4.598,
tidb,2.42,423,1,5.154,
tidb,2.42,424,1,4.463,
tidb,2.43,425,1,4.503,
